Edital,Unidade,Título,Vertente,Orientador,Total de Bolsa
2015,EACH,Federalismo e Descentralização de Políticas Públicas: o caso da implementação do Programa Bolsa Família no estado de São Paulo,Pesquisa,Cristiane Kerches da Silva Leite,1
2015,EACH,"Financiamento político no Brasil (2002-2014): natureza do fenômeno, suas causas e consequências",Pesquisa,Wagner Pralon Mancuso,3
2015,EACH,FOTOPROTEÇÃO E SAÚDE OCUPACIONAL,Pesquisa,Helene Mariko Ueno,1
2015,EACH,GESTANTES ADOLESCENTES NO CONTEXTO FAMILIAR EM AÇÃO: TRANSFORMANDO E RENOVANDO A PARTIR DAS PROPIAS HISTORIAS DE VIDA,Cultura e Extensão,Dora Mariela Salcedo Barrientos,2
2015,EACH,GESTÃO FINANCEIRA DA FUNÇÃO SAÚDE E O INDICE DE DESENVOLVIMENTO DA SAÚDE NOS MUNICÍPIOS BRASILEIROS,Pesquisa,Jaime Crozatti,3
2015,EACH,"Ginástica laboral, atividades físicas e estratégias de consciência corporal como formas de enfrentamento do estresse para funcionários da EACH",Cultura e Extensão,Cristina Landgraf Lee,3
2015,EACH,Grupo de Estudos em Protocolos de Criptografia,Pesquisa,Marcio Moretto Ribeiro,3
2015,EACH,Grupos de discussão sobre parto domiciliar planejado: a informação como estratégia de empoderamento,Cultura e Extensão,Roselane Gonçalves,2
2015,EACH,HUMOR E LITERATURA: A RELAÇÃO ENTRE O RISO E A LEITURA EM CLUBES DE LEITURA NO ENSINO FUNDAMENTAL II,Pesquisa,Luis Paulo de Carvalho Piassi,1
2015,EACH,IDENTIFICAÇÃO DE SINERGIAS MUSCULARES DURANTE O CONTROLE DA POSTURA QUIETA UNIPODAL,Pesquisa,Fernando Henrique Magalhães,1
2015,EACH,Impactos da TI no Controle Social da Administração Pública Brasileira,Ensino,Jose Carlos Vaz,2
2015,EACH,Incontinência Urinária: A detecção precoce e a prevenção em um centro de convivência para idosos da Cidade de São Paulo,Pesquisa,Rosa Yuka Sato Chubaci,2
2015,EACH,Influência da terceirização na qualidade da costura das peças de vestuário confeccionadas em facções do Bom Retiro,Pesquisa,Francisca Dantas Mendes,2
2015,EACH,INVESTIGAÇÃO DA REDE REGULADORA DE GENES ENVOLVIDOS NA SEGMENTAÇÃO DA PARTE ANTERIOR DO CORPO DE DROSOPHILA,Pesquisa,Luiz Paulo Moura Andrioli,2
2015,EACH,Juventudes em pauta: discutindo DSTs nas escolas da zona leste de São Paulo,Cultura e Extensão,Ivana Brito,3
2015,EACH,LABIDECOM: sistematização das pesquisas e dos projetos de graduação e de extensão universitária,Cultura e Extensão,Roseli Aparecida Figaro Paulino,1
2015,EACH,Lazer e festas universitárias: estudo sobre percepções acerca da motivação e do consumo por parte dos discentes da Universidade de São Paulo,Pesquisa,André Fontan Kohler,2
2015,EACH,"Lazer, aventura e natureza: criação e operação de visitas, passeios e trilhas de aventura e natureza na Região Metropolitana de São Paulo",Cultura e Extensão,André Fontan Kohler,1
2015,EACH,"Lazer, turismo e consumo cultural: motivação de visita e avaliação do MASP, Pinacoteca do Estado e Museu da Língua Portuguesa por seus frequentadores",Pesquisa,André Fontan Kohler,2
